,R_1M,R_3M,AboveEMA50,Vol20(ann),FMS,Filter_Status,ΔFMS_1D,ΔFMS_5D,R_1W,R_6M,R_YTD
NVDY,0.07199387048571304,0.14773757899002904,0.0893910329772567,0.3381511498081947,0.09698224438405466,정상,-0.0225188396229411,0.09237332926915691,0.04665093304787571,0.5865982944255799,0.28642649209269133
KWT,0.04230229692336729,0.07442756228883662,0.028346635688265787,0.09122816202514895,0.09632805000306821,정상,0.06752975958526686,0.10810662270069182,0.0029997620988635454,0.1446524862760301,0.236706878574114
GPIQ,0.04709465871021279,0.1352293128080555,0.04985080644162232,0.1792018021292578,0.09619066945659488,정상,-0.006022660960810167,-0.1085693283051436,0.002921023251161392,0.26518139023962184,0.16483689764759957
QTR,0.046134124080463135,0.14171978339704272,0.0512458211954554,0.18216661047748853,0.09586324894741127,정상,-0.006066530301262418,-0.09201679439450605,0.005783206084599479,0.2783658896649088,0.13867844394004836
NAD,0.0393508704552199,0.11109175601960408,0.03594091732188587,0.11550013562069046,0.09551005730046125,정상,0.020736782638008933,-0.10071432004575426,-0.004064955194725939,0.1088646490672136,0.059912674630010265
INDY,0.058130814882523696,0.06623594077907291,0.02570196688934301,0.1375861294443006,0.09527432341347797,정상,0.022525256990953646,-0.09637399450439726,-0.011208390562044812,0.05825093031144246,0.01701216008149342
FFEM,0.0518185996170033,0.19757116474136094,0.06362221474024299,0.2554987416521976,0.09517299303539134,정상,-0.04208102068645592,-0.23908971771627646,-0.0034406940801640085,0.31493157533376914,0.32061628566454314
BLCR,0.044977038178593,0.13728839987935282,0.052277654173811694,0.1781041135756091,0.09441000529887644,정상,0.03627006814394357,-0.1576038074675301,0.002115308346894329,0.3117761747692014,0.23579369481455004
WSR,0.0889893621907436,0.10297784155915579,0.06389275071329137,0.33026069327582425,0.09411521218889278,정상,0.052683670006838726,0.610973781027566,0.0527298627125794,0.06147237246893833,-0.08201018266701532
DBEM,0.04572592256259056,0.1757225125492321,0.05771615024564891,0.21293458235907997,0.09313506949455286,정상,-0.028628248150690372,-0.20409083407294315,-0.002660384346632849,0.2911163378698043,0.2620248160093346
IVVW,0.03914504242077044,0.09895588935092481,0.036436362732550576,0.10998241810144709,0.09293982752842878,정상,0.0022483013756788295,-0.14144012835524322,-0.0057015171508701945,0.14993039300636846,0.05337722669245015
XPND,0.05137166969831508,0.1614650352695406,0.054072178764059675,0.21875644243594644,0.09206030428365786,정상,0.008218317974759581,-0.1584360085882781,-0.002597434436984236,0.2944674561796503,0.2079027446017736
ETG,0.04495674942058625,0.1239007020774594,0.04457651111275451,0.15926910774940836,0.09116841194571718,정상,-0.021379109667128693,-0.2078097881897027,-0.000929813817964531,0.20061492613576082,0.24319718783753652
OEF,0.04600530589015994,0.14116500266042675,0.050458755752257556,0.18278315902438813,0.09114752866234188,정상,0.006239746332001916,-0.07393092882773755,0.005668039888632848,0.2857677055083623,0.16392733621613664
INDH,0.052607899469075514,0.06389729191008464,0.0253575971788369,0.11888580201351835,0.091061623304864,정상,0.024660403614685078,-0.034230010883436024,-0.006252338386639522,0.08750896939862018,0.02229773638524879
